,FTR,season_period,xg1_5g_avg,xg2_5g_avg,gd_5g_avg,elo_diff,game1_D,game1_H,game2_D,game2_H,game3_D,game3_H,game4_D,game4_H,game5_D,game5_H
232,1,2,1.0619999999999998,1.672,-0.8,-231.71911621000004,0,0,1,0,1,0,0,0,1,0
351,0,2,1.142,1.5919999999999999,-0.6,55.13708496999993,0,0,0,0,0,1,0,1,0,0
167,0,2,1.544,1.41,1.2,-50.40673785000013,0,1,1,0,0,1,0,1,0,1
592,0,2,0.8760000000000001,1.2760000000000002,0.4,-69.33020019000014,0,1,0,1,0,1,1,0,0,0
776,2,2,1.2520000000000002,1.4439999999999997,-1.0,-115.22460938000017,0,0,1,0,0,0,0,0,0,1
11,1,2,0.804,1.272,0.2,-219.58728027000006,0,1,0,1,1,0,0,0,0,1
828,1,2,1.874,0.992,1.4,189.33557128999996,0,1,0,1,0,1,0,1,1,0
402,0,2,1.892,1.1300000000000001,1.2,176.13806152999996,0,1,0,1,0,1,0,0,0,1
298,0,2,2.068,0.932,1.0,84.65417480999986,0,1,0,0,0,1,1,0,0,1
63,1,2,1.518,0.606,0.2,-196.21777343999997,0,0,0,1,0,1,0,1,1,0
233,0,2,1.174,1.3519999999999999,-0.6,-11.861938470000041,1,0,1,0,0,0,1,0,0,0
180,2,2,2.578,0.8639999999999999,0.6,-10.66723633000015,1,0,0,1,1,0,1,0,0,1
64,1,2,1.166,0.704,0.8,26.47692871000004,0,1,0,1,0,1,1,0,0,0
246,2,2,1.8199999999999998,1.672,0.0,105.46472127000015,0,1,0,0,1,0,0,1,0,0
560,2,2,1.524,0.9359999999999999,0.6,-0.5322265600000264,0,1,0,1,0,0,0,0,0,1
763,1,2,0.954,1.5659999999999998,-1.8,-69.09570312000005,0,0,0,0,1,0,0,0,1,0
730,1,2,1.246,1.1700000000000002,-0.2,-58.688110350000215,0,1,0,0,0,1,0,0,0,0
116,1,2,2.2299999999999995,0.654,2.6,-112.41967774,0,1,0,1,0,1,0,1,0,1
456,2,2,2.17,0.526,0.8,252.23205566000001,0,1,1,0,1,0,1,0,0,1
234,2,2,1.08,1.182,-0.4,-282.1567382799999,1,0,0,0,1,0,0,0,0,1
626,0,2,1.812,0.6519999999999999,2.8,46.52282715000001,0,1,0,1,0,1,0,1,0,1
678,1,2,1.174,1.3820000000000001,0.6,-194.20605468999997,1,0,0,0,0,1,0,1,0,1
777,0,2,1.32,0.924,-0.2,-206.45922851,1,0,0,0,0,0,0,1,1,0
352,2,2,1.614,1.3539999999999999,0.6,-13.337768560000086,0,0,0,1,0,1,0,0,0,1
12,2,2,0.796,1.4900000000000002,-0.4,-10.683715819999861,0,1,1,0,0,0,0,1,0,0
168,1,2,1.52,1.292,1.2,43.57824735999998,1,0,0,1,0,1,0,1,0,1
507,0,2,1.3519999999999999,1.3019999999999998,1.0,109.44421386999988,0,0,0,1,0,1,0,1,0,1
181,0,2,2.3259999999999996,0.734,0.6,204.85510253999996,0,1,1,0,1,0,0,1,1,0
593,0,2,0.8,1.4320000000000002,0.6,-141.41625976,0,1,0,1,1,0,0,0,0,1
299,0,2,1.7259999999999998,0.756,1.0,-54.01611329000002,0,0,0,1,1,0,0,1,0,1
829,2,2,1.6019999999999999,1.1179999999999999,0.8,128.95507811999983,0,1,0,1,0,1,1,0,0,0
403,0,2,1.904,1.316,1.2,325.47644043000014,0,1,0,1,0,0,0,1,0,1
247,1,2,1.5979999999999999,1.5559999999999998,-0.6,-116.00817870999981,0,0,1,0,0,1,0,0,1,0
117,0,2,2.0020000000000002,0.986,1.6,135.9454345700001,0,1,0,1,0,1,0,1,0,0
731,1,2,1.15,1.0159999999999998,-0.6,-242.83044433999999,0,0,0,1,0,0,0,0,0,0
353,0,2,1.8599999999999999,1.196,1.0,-0.7197265699999207,0,1,0,1,0,0,0,1,1,0
182,0,2,2.268,0.7500000000000001,1.4,111.44213867999974,1,0,1,0,0,1,1,0,0,1
235,1,2,1.2,1.5779999999999998,-0.4,-122.2578125,0,0,1,0,0,0,0,1,1,0
561,1,2,1.614,1.064,0.4,-169.58105468000008,0,1,0,0,0,0,0,1,1,0
764,1,2,1.23,1.486,-1.2,-54.89379882999992,0,0,1,0,0,0,1,0,0,0
65,0,2,1.1179999999999999,0.764,0.2,48.67346216999999,0,1,0,1,1,0,0,0,0,0
627,0,2,2.206,0.624,2.4,5.303222649999952,0,1,0,1,0,1,0,1,0,1
778,1,2,1.352,0.9179999999999999,0.0,-147.27600097999994,0,0,0,0,0,1,1,0,0,1
404,0,2,1.9439999999999997,1.128,1.4,292.0596923800001,0,1,0,0,0,1,0,1,0,1
300,0,2,1.668,0.73,1.6,276.35070800999983,0,1,1,0,0,1,0,1,0,1
